data_resource_uid	dcterms:license	institutionCode	collectionCode	datasetName	basisOfRecord	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	sex	reproductiveCondition	establishmentMeans	occurrenceStatus	occurrenceRemarks	eventID	eventDate	year	month	samplingProtocol	locationID	country	countryCode	stateProvince	locality	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	georeference_verification_status	identificationQualifier	typeStatus	identifiedBy	dateIdentified	taxonConceptID	scientificName	scientificName	originalNameUsage	kingdom	phylum	class	order	family	genus	taxonRank	vernacularName	species	verbatimIdentificationQualifier	recordID	dcterms:accessRights	verbatimBasisOfRecord	Temperature - annual max mean	Temperature - annual min mean	Temperature - annual range	Precipitation - annual mean	Radiation - annual mean (Bio20)	Elevation 	Enhanced Vegetation Index (2012-03-05)	Moisture Index - annual mean (Bio28)	Nutrient status	Ph - soil
drt25826				Koalas										present								Australia		Queensland							-27.2584183	152.991807		-27.2584183	152.991807			Not provided																		f113c094-cb77-4cc3-b32f-0125dbd0d456			24.795834	14.093333	20.800018	103.65939	17.7	43.0	0.3919	0.79	1.9	5.0
drt25826				Koalas										present								Australia		New South Wales							-28.6472222	153.4377778		-28.6472222	153.4377778			Not provided																		f0ed8e60-3616-46c2-a3c7-caa8d995052e			23.516666	13.645834	20.372833	155.53601	16.7	109.0	0.5737	0.91	1.8	4.0
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		f0df85e2-c383-4539-abed-e9fba87de718			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		f02c91aa-e517-45c2-9faf-1025717e0b15			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		Victoria							-38.8260412	143.5117558		-38.8260412	143.5117558			Not provided																		efc8f1fb-328f-4e4f-94f3-9f9fb41b134a			16.2425	8.895833	15.9383545	94.02331	13.9	83.0	0.3862	0.82	1.7	4.0
drt25826				Koalas										present								Australia		New South Wales							-30.9855488893933	150.243011995726		-30.9855488893933	150.243011995726			Not provided																		efadbdf2-32b9-44e2-ad6b-79bea553e7e2			24.75	10.659166	29.399994	49.778355	18.4	264.0	0.3308	0.37	1.7	6.0
drt25826				Koalas										present								Australia		Queensland							-27.9886155	153.2429915		-27.9886155	153.2429915			Not provided																		ef623ace-cabf-4830-9082-3170b3ddc8dc			24.594166	13.673333	21.5	103.526886	17.6	82.0	0.4806	0.83	1.7	4.0
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		ef5e6024-e1ad-4fe6-9bfc-676f0335b87f			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		Queensland							-27.4935931	153.2137869		-27.4935931	153.2137869			Not provided																		ef3bbdfd-034d-478a-baac-c57050f75601			24.6275	14.8775	20.5	106.952705	17.8	3.0	0.3471	0.78	2.6	
drt25826				Koalas										present								Australia		New South Wales							-30.9525	148.3886111		-30.9525	148.3886111			Not provided																		eee1291d-37af-434d-ace3-47e0d44238d5			25.625834	11.091666	30.0	40.798702	18.8	175.0	0.277	0.3	2.0	6.0
